x,y
892522430322182843617660273,535624868165888210918467
892522430234923623617660273,535624868218097535867159
892522480027592054322204057,535624838246367535867159
892527390707485133219413866,535621882374427535867159
892527501198024501799344583,535621815867537535867159
892528020869101458133852371,535621503065347535867159
892528228863339206656283690,535621377868847535867159
892529482275540329305409524,535620623412547535867159
892531151439702212857477676,535619618709317535867159
892542350499926284143633745,535612877868847535867159
892542463710474100900580969,535612809727007535867159
892542518947615846186938787,535612776479577535867159
892542534365902068254174826,535612767199257535867159
892542569255219349488053852,535612746199257535867159
892542568765079499488053852,535612746492506939073878
892542719756373496337188223,535612655610346939073878
892542719619373496337188223,535612655692313656642713
892542766631020866067854404,535612627395853656642713
892542766617505176067854404,535612627403940055389323
892543021605329501876121142,535612473926010055389323
892588379714632214054987586,535585174144410055389323
892604979077901465180935599,535575184144410055389323
892605311403790644766575270,535574984144410055389323
892607449123636647296289256,535573697627780055389323
892609134902384514997726575,535572683101440055389323
892651060190249500797972268,535547453085430055389323
892651089200819596253688687,535547435628120055389323
892651089195044176253688687,535547435631574632854012
892651089113558006253688687,535547435680315726418347
892651089085194066253688687,535547435697281666203747
892651089018985806253688687,535547435736884251478398
892651367948342479430341241,535547267889284251478398
892656255422601924816024978,535544326836134251478398
892656255393575564816024978,535544326853496217661663
892656255099575564816024978,535544327029350787774021
892656255046637674816024978,535544327061015311216926
892656254822585464816024978,535544327195030974821576
892656254790367994816024978,535544327214301686871010
892656445841315266304075994,535544212249441686871010
892656445746798036304075994,535544212305976651983681
892656445551630336304075994,535544212422715146268770
892656445404045146304075994,535544212510992421996172
892656445256467196304075994,535544212599265367186241
892656495111091978213822921,535544182599265367186241
892656495009021978213822921,535544182660317973691056
892658537282801263402671772,535542953725797973691056
892666318470501890113397368,535538271461947973691056
892666724745351486849686554,535538026991737973691056
892666721353440386849686554,535538029020544293864873
892666721300501866849686554,535538029052208450502083
892666719300501866849686554,535538030248469951957953
892666716945933176849686554,535538031656809897008780
892666692344469086849686554,535538046371702598081538
892666667741405326849686554,535538061087552920939017
892666667291410616849686554,535538061356708626437250
892666666523867966849686554,535538061815799542733119
892666662043867966849686554,535538064495425641804832
892666661874952696849686554,535538064596459072245497
892666661639952696849686554,535538064737019817075056
892666661628867966849686554,535538064743649935821706
892666661518867966849686554,535538064809444327045529
892666661268867966849686554,535538064958977034432648
892666636664161056849686554,535538079675811199059621
892666636564161056849686554,535538079735624285330199
892666631860629216849686554,535538082548951857691340
892666631586002986849686554,535538082713214283360182
892666624537433906849686554,535538086929181068734378
892666617743508786849686554,535538090992837502633517
892666612254917946849686554,535538094275733235576447
892666607068899936849686554,535538097377650848963147
892666604553600666849686554,535538098882129074970737
892666599097642726849686554,535538102145506158514452
892666596829262956849686554,535538103502294224610085
892666594656360696849686554,535538104801974246798685
892666590033711856849686554,535538107566923459302109
892666587728914706849686554,535538108945493914207764
892666585555623316849686554,535538110245406713545153
892666582732017876849686554,535538111934292469566103
892666581115015526849686554,535538112901471598505104
892666579001075276849686554,535538114165884663927251
892666574247415906849686554,535538117009195425522001
892666573745351486849686554,535538117309495692257734
892666577674882409292583478,535538114944955692257734
892666838101699267999762987,535537958236825692257734
892666980880828868745677872,535537872321555692257734
892666991578770368673214489,535537865884225692257734
892667489551095516804081993,535537566236825692257734
892667488551095516804081993,535537566834955410642290
892667488430995516804081993,535537566906790789910171
892670812167236253188057874,535535566906790789910171
892672474483417280485496978,535534566642770789910171
892672474361604370485496978,535534566715629896429561
892672473794458740485496978,535534567054852757947700
892672473252586820485496978,535534567378958831914527
892672489871392153771295644,535534557378958831914527
892672488058263323771295644,535534558463432901586493
892672488048263323771295644,535534558469414131678566
892672588098237110298624881,535534498266554131678566
892672588068296970298624881,535534498284462014292016
892672584102643680298624881,535534500656409971810693
892672582807465910298624881,535534501431085431207467
892672581739204750298624881,535534502070036875738640
892672580794847390298624881,535534502634878623503671
892672579797406320298624881,535534503231470954287402
892672579023685500298624881,535534503694251084540120
892672578271072270298624881,535534504144406282902164
892672577627983390298624881,535534504529052461381796
892672576830375020298624881,535534505006120284321527
892672576014031200298624881,535534505494394209632501
892672575438695670298624881,535534505838515560414768
892672574830788610298624881,535534506202118689382242
892672574248094670298624881,535534506550641274555925
892672573697106480298624881,535534506880199925230188
892672573136465600298624881,535534507215532071197550
892672572539206730298624881,535534507572766275800238
892672571983529500298624881,535534507905129549920987
892672571417425970298624881,535534508243729033218520
892672570865703560298624881,535534508573726839773879
892672570310026330298624881,535534508906090115138929
892672569782087800298624881,535534509221862239245728
892672569243438770298624881,535534509544040559047644
892672568712328880298624881,535534509861709546950821
892672568183825290298624881,535534510177819647513027
892672567666786230298624881,535534510487072550492037
892672567151419500298624881,535534510795325194954429
892672566644589520298624881,535534511098471814074471
