x,y
28224037426070277394190854,16937945548316216209486
28224037338811057394190854,16937945600525541314488
28224087131564512551799111,16937915628795541314488
28228998658253501732120323,16934959756855541314488
28229109186888800493041866,16934893249965541314488
28229629048412446218953782,16934580447775541314488
28229837124075265941543449,16934455251275541314488
28231091090009111558367695,16933700794975541314488
28232761159361689629172355,16932696091745541314488
28243971256432669528323157,16925955251275541314488
28244084622566415026471809,16925887109435541314488
28244139935941111309681112,16925853862005541314488
28244155375543637430595494,16925844581685541314488
28244190313157056586199504,16925823581685541314488
28244189823017206586199504,16925823874529224259113
28244341024285759263177182,16925732992369224259113
28244340887285759263177182,16925733074221689959080
28244387964629244772638384,16925704777761689959080
28244387951113554772638384,16925704785836791160284
28244643297923099718694953,16925551307906791160284
28290136725123316773952176,16898251526306791160284
28306821131037295356457878,16888261526306791160284
28307155354128840617565783,16888061526306791160284
28309305461133401341285017,16886775009676791160284
28311001231630531771555345,16885760483336791160284
28353238583217434588173810,16860530467326791160284
28353267851980569592126686,16860513010016791160284
28353267846205149592126686,16860513013440890807026
28353267764718979592126686,16860513061751968922538
28353267736355039592126686,16860513078568227758864
28353267670146779592126686,16860513117821421813466
28353549084955951981159208,16860345270221421813466
28358480990597820894207418,16857404217071421813466
28358480961571460894207418,16857404234274076528325
28358480667571460894207418,16857404408515026608289
28358480614633570894207418,16857404439889000626614
28358480390581360894207418,16857404572674955713007
28358480358363890894207418,16857404591768842637735
28358673179873752765164184,16857289626908842637735
28358673085356522765164184,16857289682924312864404
28358672890188822765164184,16857289798590108403727
28358672742603632765164184,16857289886056213794837
28358672595025682765164184,16857289973518029321533
28358722912093738292177019,16857259973518029321533
28358722810023738292177019,16857260034009422936557
28360784176673992574860186,16856031099489422936557
28368640776034428559858180,16851348835639422936557
28369051104138467437212716,16851104365429422936557
28369047712227367437212716,16851106374167121099188
28369047659288847437212716,16851106405518064726100
28369045659288847437212716,16851107589946563877994
28369043304720157437212716,16851108984355907444345
28369018703256067437212716,16851123553709575296223
28368994100192307437212716,16851138124035825076571
28368993650197597437212716,16851138390530094752679
28368992882654947437212716,16851138845081497647953
28368988402654947437212716,16851141498211797945981
28368988233739677437212716,16851141598246238626371
28368987998739677437212716,16851141737417160794497
28368987987654947437212716,16851141743981722962276
28368987877654947437212716,16851141809125559712198
28368987627654947437212716,16851141957179736020911
28368963022948037437212716,16851156528510961415441
28368962922948037437212716,16851156587732735241143
28368958219416197437212716,16851159373248194969547
28368957944789967437212716,16851159535886775761770
28368950896220887437212716,16851163710176928887362
28368944102295767437212716,16851167733664281357101
28368938613704927437212716,16851170984110081509360
28368933427686917437212716,16851174055367765787017
28368930912387647437212716,16851175544975840663621
28368925456429707437212716,16851178776098825518543
28368923188049937437212716,16851180119477217593020
28368921015147677437212716,16851181406312181943293
28368916392498837437212716,16851184143935354554580
28368914087701687437212716,16851185508881696377608
28368911914410297437212716,16851186795947935603551
28368909090804857437212716,16851188468143339647069
28368907473802507437212716,16851189425764500924010
28368905359862257437212716,16851190677682398855477
28368900606202887437212716,16851193492895688501860
28368900104138467437212716,16851193790228454393126
28368904072888163861158592,16851191425688454393126
28369167101305586269072976,16851034717558454393126
28369311308771037723250357,16850948802288454393126
28369322113789948096699500,16850942364958454393126
28369825079247846915422492,16850642717558454393126
28369824079247846915422492,16850643309740159238269
28369823959147846915422492,16850643380861184790657
28373181465606722975582324,16848643380861184790657
28374860960497437609538198,16847643116841184790657
28374860838684527609538198,16847643188950918298504
28374860271538897609538198,16847643524684800954374
28374859729666977609538198,16847643845457387535571
28374876521185246571510384,16847633845457387535571
28374874708056416571510384,16847634918776306611115
28374874698056416571510384,16847634924696012757049
28374975788206854090152532,16847574721836012757049
28374975758266714090152532,16847574739559569382405
28374971792613424090152532,16847577087093366445498
28374970497435654090152532,16847577853795326596120
28374969429174494090152532,16847578486170288863133
28374968484817134090152532,16847579045198375391421
28374967487376064090152532,16847579635650289579405
28374966713655244090152532,16847580093667290708227
28374965961042014090152532,16847580539189324261302
28374965317953134090152532,16847580919876599241813
28374964520344764090152532,16847581392034308255761
28374963704000944090152532,16847581875282809910998
28374963128665414090152532,16847582215862403486895
28374962520758354090152532,16847582575723279883268
28374961938064414090152532,16847582920658837473645
28374961387076224090152532,16847583246825651779375
28374960826435344090152532,16847583578706552806314
28374960229176474090152532,16847583932264110005704
28374959673499244090152532,16847584261206720770900
28374959107395714090152532,16847584596321370821495
28374958555673304090152532,16847584922922884196390
28374957999996074090152532,16847585251865533704254
28374957472057544090152532,16847585564387796776417
28374956933408514090152532,16847585883250335897330
28374956402298624090152532,16847586197649963522495
28374955873795034090152532,16847586510506758733443
28374955356755974090152532,16847586816576939376575
28374954841389244090152532,16847587121657166543850
28374954334559264090152532,16847587421683928060688
28374953829113204090152532,16847587720891464886225
28374953323482094090152532,16847588020208555909163
28374952832688774090152532,16847588310742170398837
28374952353263204090152532,16847588594546457886558
28374951875898394090152532,16847588877130852238232
28374951362700754090152532,16847589180927123558396
28374950851749144090152532,16847589483393829245549
28374950340649074090152532,16847589785948429297215
28374949864886744090152532,16847590067584247643517
28374949354185994090152532,16847590369902484250085
28374948884782084090152532,16847590647774344084802
28374948411779824090152532,16847590927776319464531
28374947941522564090152532,16847591206153353238613
28374947472127734090152532,16847591484019865634319
28374947012632014090152532,16847591756026434923838
28374946556353184090152532,16847592026128718329799
28374946154133794090152532,16847592264229572035594
28374945677517414090152532,16847592546371043331037
28374945296024864090152532,16847592772202292762491
28374974949770262034916615,16847575112362292762491
28374972060174342034916615,16847576822906223897473
28374972032331162034916615,16847576839388454899110
28374972019195152034916615,16847576847164533334542
28374983927211045313420500,16847569755534533334542
28375270457467703343655613,16847399118784533334542
28382522548087193869163798,16843081447224533334542
28382594411544569844590855,16843038672974533334542
28382628053278635999017304,16843018648964533334542
28382914889698542569386809,16842847922024533334542
28382912532723442569386809,16842849316493074932267
28382946066845737305427330,16842829356983074932267
28382992567832990487667579,16842801679673074932267
28383231660935443356437242,16842659373293074932267
28383327720533510544896974,16842602200033074932267
28385443005752895404776665,16841343311743074932267
28385563929176783548347079,16841271351193074932267
28385563479176783548347079,16841271617378961897506
28385581949825875990570041,16841260625698961897506
28385680893319525678676388,16841201745758961897506
28385680697096575678676388,16841201861828625062944
28385680447096575678676388,16841202009708453833796
28385679665600815678676388,16841202471978307315609
28385679545019525678676388,16841202543304474239095
28385705103782194219343016,16841187333694474239095
28385704915292194219343016,16841187445189757649214
28385906589286797771233508,16841067433189757649214
28389267909500260214616187,16839067433189757649214
28389305683228789280802360,16839044960349757649214
28389391617355597981630311,16838993835519757649214
28391507776427248893660477,16837734965949757649214
28392420509069580421106684,16837192053709757649214
28394439618661111428723424,16835991169859757649214
28394456433396180439816819,16835981169859757649214
28394466380464761348727419,16835975254179757649214
28394500010018361279088210,16835955254179757649214
28394537104567852542938164,16835933193549757649214
28394555998458527635180120,16835921957119757649214
28394632551390223097209196,16835876430299757649214
28394900245533088471782628,16835717231759757649214
28394900230236178471782628,16835717240802291549454
28395139206922789854887161,16835575123162291549454
28395618315867629144980682,16835290207892291549454
28396018545258336958717735,16835052207892291549454
28396846088554724839212295,16834560123162291549454
28397266534289405334285199,16834310123162291549454
28398117935352697444026437,16833803896802291549454
28398117924452697444026437,16833803903244197226949
28398115579123417444026437,16833805289335138325504
28398115369208147444026437,16833805413395193659702
28398115183208147444026437,16833805523321311056278
28398115079123417444026437,16833805584835452808007
28398114252996047444026437,16833806073077270865484
28398089630096127444026437,16833820625240329238111
28398085140096127444026437,16833823278838368392804
28398080650096127444026437,16833825932437245405756
28398080422774357444026437,16833826066784883158530
28398055799020097444026437,16833840619487478713725
28398031174540457444026437,16833855172643976101417
28398006549455547444026437,16833869726183391985428
28398006109649327444026437,16833869986111136979479
28398005169446017444026437,16833870541776170704664
28398005079446017444026437,16833870594966639524140
28397988685275227444026437,16833880284012599477602
28397984013784777444026437,16833883044891435531612
28397977788784777444026437,16833886723905130297118
28397953157733737444026437,16833901281025209784624
28397953010181617444026437,16833901368229600450827
28397943485536327444026437,16833906997367099175442
28397943196536327444026437,16833907168168346691987
28397939521977947444026437,16833909339861228890251
28397939478673247444026437,16833909365454650277543
28397925636102697444026437,16833917546527707042721
28398107431900802789785555,16833809456787707042721
28398107117869712789785555,16833809642380376726440
28398106117869712789785555,16833810233381345023132
28398106079990802789785555,16833810255767818326960
28398106000512572789785555,16833810302739531121128
28398103643935532789785555,16833811695479019591591
28398102443095952789785555,16833812405176552533596
28398122650551084454888603,16833800390576552533596
28398222195167130235900314,16833741205306552533596
28398222129167130235900314,16833741244312298518444
28398543687001524198008095,16833550061652298518444
28398964762149367220331262,16833299717392298518444
28399014278152927985393029,16833270278842298518444
28399031098315372040313743,16833260278842298518444
28400026334842939396588255,16832668607412298518444
28401082271077429273512388,16832040895212298518444
28401081520537429273512388,16832041338689093740636
28401113687413440643036476,16832022217489093740636
28401113569413440643036476,16832022287212419234863
28401113559413440643036476,16832022293121175659235
28401113504802580643036476,16832022325389402719158
28401130327455521299729003,16832012325389402719158
28401321575457719152085749,16831898641419402719158
28401321565457719152085749,16831898647328072464267
28401321562457719152085749,16831898649100673388609
28401321529807199152085749,16831898668392787390239
28401321471427199152085749,16831898702887601531672
28401321454427199152085749,16831898712932340174309
28401321444427199152085749,16831898718841009969702
28401482156288356032115696,16831803187721009969702
28401554069705539231411815,16831760440951009969702
28401768903413146472154795,16831632740801009969702
28401768570383146472154795,16831632937571232988196
28403886460903357627276206,16830374137571232988196
28403886465917485669450067,16830374134591232988196
28403903982885595087655054,16830363723901232988196
28403924340201101258464758,16830351625151232988196
28404359036524652963501864,16830093280791232988196
28404380553891041512197124,16830080493011232988196
28404405243767203502308715,16830065819831232988196
28404422888500885355560601,16830055333591232988196
28405126333511187920398267,16829637287871232988196
28405600816205223699119622,16829355322371232988196
28405600542856063699119622,16829355483835492945308
28405600215091963699119622,16829355677442047161201
28405597861424653699119622,16829357067726891229556
28405597386842603699119622,16829357348057205590066
28405597333902813699119622,16829357379328148618235
28405597333124653699119622,16829357379787799045120
28406752363187935572406065,16828671032337799045120
28406896681956211235034166,16828585278477799045120
28406896431566211235034166,16828585426366828372735
28406896413658241235034166,16828585436943897446866
28406991940369483209153987,16828528675683897446866
28407025502673059772340566,16828508733303897446866
28407023147774729772340566,16828510124176099211009
28407023137314309772340566,16828510130354331374695
28407022731707109772340566,16828510369917894363869
28407020376122079772340566,16828511761195952392280
28407861741108096742512694,16828011845925952392280
28407934255695873245452760,16827968761195952392280
28407931676495873245452760,16827970284449719353172
28407931130644653245452760,16827970606824881537436
28408027398352644207353191,16827913409444881537436
28408026743337524207353191,16827913796288719983582
28408025869138804207353191,16827914312579712763068
28408170271910838537514445,16827828516509712763068
28408187105663860798497772,16827818514889712763068
28409197618197185790997172,16827218149909712763068
28411155297655816124480787,16826055176549712763068
28411154998393686124480787,16826055353251255117848
28411154744478416124480787,16826055503177410854950
28411154731393686124480787,16826055510903386871049
28412151178195030113472815,16825463626203386871049
28412545966906265301619645,16825229135063386871049
28412564653360216546419219,16825218036103386871049
28412633682078478662476074,16825177036103386871049
28412633671267668662476074,16825177042486044419638
28413031251409942566771204,16824940901386044419638
28413199620265991137462921,16824840901386044419638
28415150731111691764769808,16823682156856044419638
28425081271428372262995236,16817786983186044419638
28427116992986135640257638,16816579004826044419638
28439594079683269279973096,16809179004826044419638
28444929676687523320760991,16806016514146044419638
28445148423801551192579964,16805886884676044419638
28449202636884983773997091,16803484721176044419638
28449624636807909762354125,16803234721176044419638
28528803781406942859006742,16756458907336044419638
28570960905883150128062133,16731660071566044419638
28575480734504428491798405,16729005636596044419638
28575909971834865408345225,16728753594916044419638
28575907617400695408345225,16728754969101227402689
28575907607400695408345225,16728754974937811469707
28575907482424205408345225,16728755047881390842761
28576580715725275100994349,16728359750661390842761
28576677414916280023615905,16728302974071390842761
28577067083558735592164159,16728074185401390842761
28577066985036565592164159,16728074242900010663371
28577064385456855592164159,16728075760043406403938
28577064343650245592164159,16728075784442207433598
28594089523556880655192632,16718085784442207433598
28594106575942348076005259,16718075784442207433598
28594106565133228076005259,16718075790743001055206
28594106556282608076005259,16718075795902156479658
28594378090388348817624884,16717916562252156479658
28594409287333450573817863,16717898267862156479658
28594510942626447186579849,16717838655842156479658
28594508588210277186579849,16717840028226902618278
28594542589212623468634913,16717820089676902618278
28596483633547888058447144,16716681919446902618278
28596500688793286204997328,16716671919446902618278
28598630528815579542918190,16715423224626902618278
28598671800375952337020154,16715399029536902618278
28598671785448682337020154,16715399038235443953152
28600818992629943441439847,16714140353475443953152
28600834114443596818511190,16714131489795443953152
28600833991588816818511190,16714131561375549443459
28600833973358816818511190,16714131571997076172077
28600833955358816818511190,16714131582484595719907
28600833755358816818511190,16714131699012591583768
28600833455358816818511190,16714131873804588431608
28600861134827607004438238,16714115649454588431608
28600931728954680122894951,16714074270774588431608
28603079241510487890994535,16712815606244588431608
28603109026062545615004653,16712798150744588431608
28603131997330900097362732,16712784688254588431608
28603513406665616504526837,16712561163524588431608
28603543306586336488930530,16712543640944588431608
28603566978847446175695005,16712529768054588431608
28603585393712265205562341,16712518976224588431608
28608697918096158801213629,16709523376224588431608
28609166731792038624838841,16709248736114588431608
28610580343229149846983938,16708420669864588431608
28610599843637498746127292,16708409247474588431608
28657228437178070333924181,16681141080174588431608
28702114379095940216309205,16654975823114588431608
28749042418113957067247480,16627707669104588431608
28750943090983992449092380,16626605134024588431608
28751344305662929441183659,16626372417584588431608
28798433646358557962961223,16599104375734588431608
28806167640883420387531760,16594634375734588431608
28824796078684921680586729,16583877605854588431608
28826435118454974747091526,16582931827424588431608
28826558943213251132071678,16582860380944588431608
28834804497441308967404597,16578104108174588431608
28882165203765248858461705,16550837822264588431608
28929678309290975898237785,16523573639044588431608
28937483073875881658454404,16519103639044588431608
28939229683005785566999056,16518103639044588431608
28986930435398989008101775,16490839870954588431608
28986951440591425149074462,16490827885024588431608
28987090564807397051605452,16490748498754588431608
28987425317042525582250010,16490557487464588431608
29035284497352096347612096,16463294264464588431608
29052937541146471447700982,16453260813404588431608
29055153557369603768160423,16452002159044588431608
29055171756413285975029725,16451991823134588431608
29055199546741161061110544,16451976040004588431608
29055721678115679237826844,16451679508384588431608
29055842297157728713969065,16451611007294588431608
29056018382349887790211185,16451511007294588431608
29056203218986477232027783,16451406038594588431608
29056253486336678772784650,16451377492004588431608
29056524798953529061217444,16451223416564588431608
29056796255003206308909812,16451069262554588431608
29056884303121696383738743,16451019262554588431608
29058361629521791606912760,16450180376604588431608
29058359278317991606912760,16450181703647628370020
29058359057402721606912760,16450181828334436611848
29058358391402721606912760,16450182204231570484676
29058358262402721606912760,16450182277040476780330
